District,Mandal,Date,Rain (mm),Min Humidity (%),Max Humidity (%)
Adilabad,Mavala,02-Oct-23,0,23.6,70.9
Adilabad,Mavala,02-Sep-23,0,29.5,77.4
Adilabad,Mavala,13-Feb-23,0,26.7,76.1
Adilabad,Mavala,14-Feb-23,0,17.4,56.9
Adilabad,Mavala,15-Feb-23,0,18.9,66.9
Adilabad,Mavala,16-Feb-23,0,18.2,72.9
Adilabad,Mavala,17-Feb-23,0,20.5,72.6
Adilabad,Mavala,18-Feb-23,0,23.0,78.2
Adilabad,Mavala,19-Feb-23,0,27.0,81.4
Adilabad,Mavala,20-Feb-23,0,24.3,86.6
Adilabad,Mavala,21-Feb-23,0,23.0,78.8
Adilabad,Mavala,22-Feb-23,0,19.1,75.6
Adilabad,Mavala,23-Feb-23,0,16.4,73.0
Adilabad,Mavala,24-Feb-23,0,15.0,76.2
Adilabad,Mavala,25-Feb-23,0,17.1,66.1
Adilabad,Mavala,26-Feb-23,0,16.4,68.3
Adilabad,Mavala,27-Feb-23,0,17.8,58.7
Adilabad,Mavala,28-Feb-23,0,23.2,54.4
Adilabad,Narnoor,02-Apr-23,0,22.9,70.4
Adilabad,Narnoor,02-Aug-23,0,28.7,85.5
Adilabad,Narnoor,02-Dec-23,0,16.8,71.8
Adilabad,Narnoor,02-Feb-23,0,41.8,76.2
Adilabad,Narnoor,02-Jan-23,0,44.9,70.4
Adilabad,Narnoor,02-Jul-23,0,20.9,81.7
Adilabad,Narnoor,02-Jun-23,0,15.5,76.3
Adilabad,Narnoor,02-Mar-23,0,19.5,69.5
Adilabad,Narnoor,02-May-23,0,21.7,67.5
Adilabad,Narnoor,02-Nov-23,0,17.5,74.3
Adilabad,Narnoor,02-Oct-23,0,20.6,75.8
Adilabad,Narnoor,02-Sep-23,0,30.0,85.2
Adilabad,Narnoor,13-Feb-23,0,28.0,69.3
Adilabad,Narnoor,14-Feb-23,0,18.1,58.8
Adilabad,Narnoor,15-Feb-23,0,18.0,68.2
Adilabad,Narnoor,16-Feb-23,0,17.0,61.4
Adilabad,Narnoor,17-Feb-23,0,19.2,56.3
Adilabad,Narnoor,18-Feb-23,0,25.1,54.4
Adilabad,Narnoor,19-Feb-23,0,24.2,73.1
Adilabad,Narnoor,20-Feb-23,0,24.8,82.1
Adilabad,Narnoor,21-Feb-23,0,22.2,81.3
Adilabad,Narnoor,22-Feb-23,0,19.8,77.3
Adilabad,Narnoor,23-Feb-23,0,16.4,67.3
Adilabad,Narnoor,24-Feb-23,0,14.2,72.3
Adilabad,Narnoor,25-Feb-23,0,15.6,60.7
Adilabad,Narnoor,26-Feb-23,0,14.2,64.5
Adilabad,Narnoor,27-Feb-23,0,18.1,54.9
Adilabad,Narnoor,28-Feb-23,0,24.2,62.9
Adilabad,Neradigonda,02-Apr-23,0,21.4,62.1
Adilabad,Neradigonda,02-Aug-23,0,30.3,82.1
Adilabad,Neradigonda,02-Dec-23,0,20.6,56.8
Adilabad,Neradigonda,02-Feb-23,0,43.7,79.3
Adilabad,Neradigonda,02-Jan-23,0,41.4,79.9
Adilabad,Neradigonda,02-Jul-23,0,21.6,85.6
Adilabad,Neradigonda,02-Jun-23,0,17.3,65.4
Adilabad,Neradigonda,02-Mar-23,0,27.3,75.6
Adilabad,Neradigonda,02-May-23,0,22.0,66.1
Adilabad,Neradigonda,02-Nov-23,0,16.8,70.8
Adilabad,Neradigonda,02-Oct-23,0,20.4,69.1
Adilabad,Neradigonda,02-Sep-23,0,27.9,76.1
Adilabad,Neradigonda,13-Feb-23,0,29.4,62.1
Adilabad,Neradigonda,14-Feb-23,0,19.3,52.6
Adilabad,Neradigonda,15-Feb-23,0,18.9,55.2
Adilabad,Neradigonda,16-Feb-23,0,17.3,58.2
Adilabad,Neradigonda,17-Feb-23,0,17.9,56.4
Adilabad,Neradigonda,18-Feb-23,0,23.5,62.5
Adilabad,Neradigonda,19-Feb-23,0,24.7,79.8
Adilabad,Neradigonda,20-Feb-23,0,26.0,90.2
Adilabad,Neradigonda,21-Feb-23,0,23.5,71.3
Adilabad,Neradigonda,22-Feb-23,0,23.1,65.1
Adilabad,Neradigonda,23-Feb-23,0,16.8,59.5
Adilabad,Neradigonda,24-Feb-23,0,14.3,58.6
Adilabad,Neradigonda,25-Feb-23,0,17.5,48.9
Adilabad,Neradigonda,26-Feb-23,0,15.6,59.9
Adilabad,Neradigonda,27-Feb-23,0,18.5,64.3
Adilabad,Neradigonda,28-Feb-23,0,24.7,77.4
Adilabad,Sirikonda,02-Apr-23,0,18.7,59.2
Adilabad,Sirikonda,02-Aug-23,0,28.9,83.8
Adilabad,Sirikonda,02-Dec-23,0,17.6,70.1
Adilabad,Sirikonda,02-Feb-23,0,38.2,80.7
Adilabad,Sirikonda,02-Jan-23,0,42.3,77.2
Adilabad,Sirikonda,02-Jul-23,0,17.0,81.5
Adilabad,Sirikonda,02-Jun-23,0,15.6,74.3
Adilabad,Sirikonda,02-Mar-23,0,21.5,71.5
Adilabad,Sirikonda,02-May-23,0,19.7,72.0
Adilabad,Sirikonda,02-Nov-23,0,15.4,82.7
Adilabad,Sirikonda,02-Oct-23,0,18.7,76.2
Adilabad,Sirikonda,02-Sep-23,0,27.7,78.0
Adilabad,Sirikonda,13-Feb-23,0,26.9,69.0
Adilabad,Sirikonda,14-Feb-23,0,16.1,70.8
Adilabad,Sirikonda,15-Feb-23,0,18.0,73.5
Adilabad,Sirikonda,16-Feb-23,0,17.3,67.8
Adilabad,Sirikonda,17-Feb-23,0,17.4,73.7
Adilabad,Sirikonda,18-Feb-23,0,22.3,68.2
Adilabad,Sirikonda,19-Feb-23,0,24.7,77.2
Adilabad,Sirikonda,20-Feb-23,0,25.3,80.7
Adilabad,Sirikonda,21-Feb-23,0,20.1,81.9
Adilabad,Sirikonda,22-Feb-23,0,18.8,74.7
Adilabad,Sirikonda,23-Feb-23,0,15.8,69.7
Adilabad,Sirikonda,24-Feb-23,0,14.6,71.1
Adilabad,Sirikonda,25-Feb-23,0,16.4,63.0
Adilabad,Sirikonda,26-Feb-23,0,13.0,63.8
Adilabad,Sirikonda,27-Feb-23,0,15.4,74.3
Adilabad,Sirikonda,28-Feb-23,0,21.9,80.2
Adilabad,Talamadugu,02-Apr-23,0,28.7,85.9
Adilabad,Talamadugu,02-Aug-23,0,39.7,100.0
Adilabad,Talamadugu,02-Dec-23,0,25.0,89.1
Adilabad,Talamadugu,02-Feb-23,0,47.8,94.1
Adilabad,Talamadugu,02-Jan-23,0,49.6,90.7
Adilabad,Talamadugu,02-Jul-23,0,26.7,100.0
Adilabad,Talamadugu,02-Jun-23,0,24.4,82.2
Adilabad,Talamadugu,02-Mar-23,0,30.7,75.3
Adilabad,Talamadugu,02-May-23,0,30.6,80.3
Adilabad,Talamadugu,02-Nov-23,0,24.5,87.2
Adilabad,Talamadugu,02-Oct-23,0,30.9,85.4
Adilabad,Talamadugu,02-Sep-23,0,34.3,100.0
Adilabad,Talamadugu,13-Feb-23,0,34.3,88.0
Adilabad,Talamadugu,14-Feb-23,0,23.3,78.5
Adilabad,Talamadugu,15-Feb-23,0,25.4,83.5
Adilabad,Talamadugu,16-Feb-23,0,25.5,84.8
Adilabad,Talamadugu,17-Feb-23,0,26.9,86.1
Adilabad,Talamadugu,18-Feb-23,0,30.6,89.1
Adilabad,Talamadugu,19-Feb-23,0,33.6,90.1
Adilabad,Talamadugu,20-Feb-23,0,30.9,100.0
Adilabad,Talamadugu,21-Feb-23,0,31.0,89.4
Adilabad,Talamadugu,22-Feb-23,0,28.8,87.8
Adilabad,Talamadugu,23-Feb-23,0,23.8,82.4
Adilabad,Talamadugu,24-Feb-23,0,21.6,81.0
Adilabad,Talamadugu,25-Feb-23,0,23.5,82.0
Adilabad,Talamadugu,26-Feb-23,0,22.7,83.5
Adilabad,Talamadugu,27-Feb-23,0,23.4,74.4
Adilabad,Talamadugu,28-Feb-23,0,31.2,75.6
Adilabad,Tamsi,02-Apr-23,0,34.9,85.9
Adilabad,Tamsi,02-Aug-23,0,37.0,92.8
