District,Mandal,Date,Rain (mm),Min Humidity (%),Max Humidity (%)
Adilabad,Ichoda,24-Mar-23,0.0,31.3,82.0
Adilabad,Ichoda,25-Mar-23,0.0,31.6,77.8
Adilabad,Ichoda,26-Mar-23,0.0,33.0,86.0
Adilabad,Ichoda,27-Mar-23,4.8,47.8,84.5
Adilabad,Ichoda,28-Mar-23,0.0,24.5,75.5
Adilabad,Ichoda,29-Mar-23,0.0,21.7,85.9
Adilabad,Ichoda,30-Mar-23,0.0,28.2,87.4
Adilabad,Ichoda,31-Mar-23,0.0,23.7,77.2
Adilabad,Inderavelly,03-Apr-23,0.0,29.2,68.9
Adilabad,Inderavelly,03-Aug-23,0.0,35.2,62.1
Adilabad,Inderavelly,03-Dec-23,0.0,22.2,72.1
Adilabad,Inderavelly,03-Feb-23,0.0,25.6,57.6
Adilabad,Inderavelly,03-Jan-23,0.0,27.3,61.6
Adilabad,Inderavelly,03-Jul-23,0.0,24.1,60.8
Adilabad,Inderavelly,03-Jun-23,0.0,25.6,57.8
Adilabad,Inderavelly,03-Mar-23,0.0,28.6,61.4
Adilabad,Inderavelly,03-May-23,0.0,23.7,65.5
Adilabad,Inderavelly,03-Nov-23,0.0,24.4,52.2
Adilabad,Inderavelly,03-Oct-23,0.0,22.2,55.1
Adilabad,Inderavelly,03-Sep-23,0.0,22.9,57.1
Adilabad,Inderavelly,13-Mar-23,0.0,25.8,61.2
Adilabad,Inderavelly,14-Mar-23,0.0,23.4,62.3
Adilabad,Inderavelly,15-Mar-23,9.0,22.5,78.0
Adilabad,Inderavelly,16-Mar-23,0.0,27.7,69.5
Adilabad,Inderavelly,17-Mar-23,0.7,36.8,87.4
Adilabad,Inderavelly,18-Mar-23,0.0,52.4,90.6
Adilabad,Inderavelly,19-Mar-23,5.9,59.6,95.4
Adilabad,Inderavelly,20-Mar-23,0.5,40.9,92.2
Adilabad,Inderavelly,21-Mar-23,0.0,33.7,94.0
Adilabad,Inderavelly,22-Mar-23,0.0,32.6,69.0
Adilabad,Inderavelly,23-Mar-23,0.0,29.5,75.2
Adilabad,Inderavelly,24-Mar-23,0.0,27.7,74.7
Adilabad,Inderavelly,25-Mar-23,0.0,31.5,82.1
Adilabad,Inderavelly,26-Mar-23,22.5,37.5,83.2
Adilabad,Inderavelly,27-Mar-23,0.8,44.4,77.8
Adilabad,Inderavelly,28-Mar-23,0.0,22.0,61.3
Adilabad,Inderavelly,29-Mar-23,0.0,18.9,81.0
Adilabad,Inderavelly,30-Mar-23,0.0,23.7,81.8
Adilabad,Inderavelly,31-Mar-23,0.0,24.2,85.9
Adilabad,Jainad,03-Apr-23,0.0,19.6,80.7
Adilabad,Jainad,03-Aug-23,0.0,25.0,88.4
Adilabad,Jainad,03-Dec-23,0.0,16.8,71.2
Adilabad,Jainad,03-Feb-23,0.0,15.4,82.0
Adilabad,Jainad,03-Jan-23,0.0,16.3,79.1
Adilabad,Jainad,03-Jul-23,0.0,17.5,64.5
Adilabad,Jainad,03-Jun-23,0.0,16.8,76.6
Adilabad,Jainad,03-Mar-23,0.0,16.8,82.8
Adilabad,Jainad,03-May-23,0.0,13.6,74.5
Adilabad,Jainad,03-Nov-23,0.0,18.2,67.4
Adilabad,Jainad,03-Oct-23,0.0,14.2,64.9
Adilabad,Jainad,03-Sep-23,0.0,14.7,73.1
Adilabad,Jainad,13-Mar-23,0.0,15.6,72.8
Adilabad,Jainad,14-Mar-23,0.0,15.6,65.7
Adilabad,Jainad,15-Mar-23,0.0,15.6,59.1
Adilabad,Jainad,16-Mar-23,0.0,19.8,72.7
Adilabad,Jainad,17-Mar-23,0.0,28.4,80.5
Adilabad,Jainad,18-Mar-23,0.0,40.8,85.1
Adilabad,Jainad,19-Mar-23,1.5,44.3,100.0
Adilabad,Jainad,20-Mar-23,0.0,30.8,88.6
Adilabad,Jainad,21-Mar-23,0.0,26.6,82.9
Adilabad,Jainad,22-Mar-23,0.0,25.2,70.9
Adilabad,Jainad,23-Mar-23,0.0,23.4,77.0
Adilabad,Jainad,24-Mar-23,0.0,25.6,72.1
Adilabad,Jainad,25-Mar-23,0.0,24.1,78.0
Adilabad,Jainad,26-Mar-23,0.3,33.6,88.4
Adilabad,Jainad,27-Mar-23,3.1,35.0,87.1
Adilabad,Jainad,28-Mar-23,0.0,18.1,68.2
Adilabad,Jainad,29-Mar-23,0.0,16.2,83.2
Adilabad,Jainad,30-Mar-23,0.0,20.9,86.4
Adilabad,Jainad,31-Mar-23,0.0,17.2,65.6
Adilabad,Mavala,03-Apr-23,0.0,28.6,74.2
Adilabad,Mavala,03-Aug-23,0.0,34.1,79.7
Adilabad,Mavala,03-Dec-23,0.0,22.5,66.6
Adilabad,Mavala,03-Feb-23,0.0,23.9,64.9
Adilabad,Mavala,03-Jan-23,0.0,24.5,50.9
Adilabad,Mavala,03-Jul-23,0.0,24.3,61.1
Adilabad,Mavala,03-Jun-23,0.0,25.0,70.6
