District,Mandal,Year,Month,total_rain_mm,rain_days,max_daily_rain,avg_min_humidity,avg_max_humidity,max_dry_streak,normal_rain_mm,rain_deviation_pct,drought_risk_score,drought_risk_level,prev_month_rain,prev_month_risk_score,target_encoded
Adilabad,Bazarhathnoor,2023,11,39.8,3,24.0,56.24666666666667,95.66666666666667,57,31.0,28.4,31.3,MILD,0.0,70.7,0
Adilabad,Bazarhathnoor,2023,12,0.4,1,0.4,58.351612903225806,97.9,24,1.8,-77.8,55.8,MODERATE,39.8,31.3,1
Adilabad,Bazarhathnoor,2024,1,0.0,0,0.0,51.690322580645166,97.8967741935484,55,0.0,0.0,30.6,MILD,0.4,55.8,0
Adilabad,Bazarhathnoor,2024,2,10.1,2,7.8,48.220689655172414,93.85517241379311,66,3.3666666666666667,200.0,31.8,MILD,0.0,30.6,0
Adilabad,Bazarhathnoor,2024,3,66.0,4,34.7,41.65806451612904,85.16451612903225,19,43.23333333333333,52.7,23.5,MILD,10.1,31.8,0
Adilabad,Bazarhathnoor,2024,4,38.0,6,16.2,40.809999999999995,81.91333333333334,9,43.0,-11.6,19.1,NORMAL,66.0,23.5,2
Adilabad,Bazarhathnoor,2024,5,43.6,8,18.3,38.851612903225806,77.43548387096774,10,69.93333333333334,-37.7,31.8,MILD,38.0,19.1,0
Adilabad,Bazarhathnoor,2024,6,256.3,14,47.0,56.50333333333333,92.11,6,171.33333333333334,49.6,8.4,NORMAL,43.6,31.8,2
Adilabad,Bazarhathnoor,2024,7,364.2,27,66.5,83.61290322580645,98.60967741935484,1,487.93333333333334,-25.4,11.6,NORMAL,256.3,8.4,2
Adilabad,Bazarhathnoor,2024,8,189.7,19,37.8,76.68709677419355,97.5,3,266.93333333333334,-28.9,15.3,NORMAL,364.2,11.6,2
Adilabad,Bazarhathnoor,2024,9,224.2,18,81.6,70.23333333333333,94.03666666666666,6,298.56666666666666,-24.9,17.7,NORMAL,189.7,15.3,2
Adilabad,Bazarhathnoor,2024,10,58.5,7,31.4,63.00967741935484,93.8258064516129,9,86.36666666666667,-32.3,23.8,MILD,224.2,17.7,0
Adilabad,Bazarhathnoor,2024,11,28.8,2,27.3,49.406666666666666,92.85666666666665,28,31.0,-7.1,33.0,MILD,58.5,23.8,0
Adilabad,Bazarhathnoor,2024,12,5.0,3,3.3,52.648387096774194,91.23548387096774,32,1.8,177.8,32.6,MILD,28.8,33.0,0
Adilabad,Bazarhathnoor,2025,1,0.0,0,0.0,54.70967741935484,87.86774193548388,34,0.0,0.0,33.6,MILD,5.0,32.6,0
Adilabad,Bazarhathnoor,2025,2,0.0,0,0.0,25.110714285714288,80.80357142857143,62,3.3666666666666667,-100.0,75.8,SEVERE,0.0,33.6,3
Adilabad,Bazarhathnoor,2025,3,0.7,1,0.7,20.948387096774194,78.09032258064516,84,43.23333333333333,-98.4,75.9,SEVERE,0.0,75.8,3
Adilabad,Bazarhathnoor,2025,4,64.0,2,63.1,22.12,70.66000000000001,22,43.0,48.8,30.8,MILD,0.7,75.9,0
Adilabad,Bazarhathnoor,2025,5,154.5,10,48.1,52.18571428571429,91.33333333333333,6,69.93333333333334,120.9,8.6,NORMAL,64.0,30.8,2
Adilabad,Bazarhathnoor,2025,6,182.0,17,97.6,65.78,96.16499999999999,2,171.33333333333334,6.2,3.2,NORMAL,154.5,8.6,2
Adilabad,Bazarhathnoor,2025,7,300.3,21,53.7,82.1103448275862,97.09655172413794,5,487.93333333333334,-38.5,21.3,MILD,182.0,3.2,0
Adilabad,Bazarhathnoor,2025,8,445.7,23,91.6,82.5741935483871,96.79354838709678,3,266.93333333333334,67.0,4.0,NORMAL,300.3,21.3,2
